,Sex,Single Year of Age,Administrative Counties,VALUE
3296,Male,0,Ireland,29610
3328,Male,1,Ireland,28875
3360,Male,2,Ireland,30236
3392,Male,3,Ireland,31001
3424,Male,4,Ireland,31686
3456,Male,5,Ireland,32684
3488,Male,6,Ireland,34092
3520,Male,7,Ireland,35429
3552,Male,8,Ireland,36296
3584,Male,9,Ireland,36969
3616,Male,10,Ireland,38035
3648,Male,11,Ireland,38296
3680,Male,12,Ireland,38957
3712,Male,13,Ireland,38474
3744,Male,14,Ireland,37352
3776,Male,15,Ireland,35948
3808,Male,16,Ireland,34646
3840,Male,17,Ireland,34981
3872,Male,18,Ireland,33900
3904,Male,19,Ireland,32867
3936,Male,20,Ireland,32120
3968,Male,21,Ireland,30771
4000,Male,22,Ireland,31450
4032,Male,23,Ireland,30871
4064,Male,24,Ireland,30234
4096,Male,25,Ireland,29969
4128,Male,26,Ireland,29376
4160,Male,27,Ireland,29162
4192,Male,28,Ireland,28902
4224,Male,29,Ireland,29989
4256,Male,30,Ireland,30858
4288,Male,31,Ireland,32237
4320,Male,32,Ireland,32413
4352,Male,33,Ireland,31888
4384,Male,34,Ireland,33121
4416,Male,35,Ireland,34695
4448,Male,36,Ireland,35828
4480,Male,37,Ireland,36427
4512,Male,38,Ireland,37513
4544,Male,39,Ireland,38749
4576,Male,40,Ireland,40301
4608,Male,41,Ireland,41401
4640,Male,42,Ireland,41644
4672,Male,43,Ireland,39275
4704,Male,44,Ireland,37940
4736,Male,45,Ireland,37710
4768,Male,46,Ireland,37289
4800,Male,47,Ireland,37053
4832,Male,48,Ireland,36472
4864,Male,49,Ireland,36650
4896,Male,50,Ireland,36050
4928,Male,51,Ireland,34926
4960,Male,52,Ireland,34356
4992,Male,53,Ireland,32611
5024,Male,54,Ireland,32050
5056,Male,55,Ireland,31353
5088,Male,56,Ireland,30684
5120,Male,57,Ireland,30891
5152,Male,58,Ireland,29775
5184,Male,59,Ireland,29196
5216,Male,60,Ireland,28455
5248,Male,61,Ireland,27849
5280,Male,62,Ireland,27116
5312,Male,63,Ireland,25884
